epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
127,22353.5,0.64611,0.31844,0.92131,0.98557,0.97397,0.99328,0.85025,0.60709,0.25804,0.90656,0.005842,0.005842,0.005842
128,22529.6,0.646,0.31949,0.91943,0.98589,0.97358,0.99327,0.84989,0.60686,0.25777,0.90649,0.005809,0.005809,0.005809
129,22705.6,0.64503,0.32104,0.91964,0.9858,0.97375,0.99328,0.84982,0.60678,0.25786,0.90642,0.005776,0.005776,0.005776
130,22881.3,0.64267,0.31779,0.91772,0.9858,0.97354,0.99327,0.85041,0.60637,0.25751,0.90626,0.005743,0.005743,0.005743
131,23056.8,0.64402,0.31757,0.91778,0.98615,0.97361,0.99327,0.85042,0.60603,0.25748,0.90619,0.00571,0.00571,0.00571
132,23232.5,0.64337,0.31914,0.91879,0.9862,0.97354,0.99328,0.8508,0.60555,0.25714,0.90601,0.005677,0.005677,0.005677
133,23408.1,0.64502,0.31952,0.91785,0.98605,0.97361,0.99328,0.85083,0.60523,0.25706,0.90586,0.005644,0.005644,0.005644
134,23583.9,0.64321,0.31838,0.91689,0.98596,0.97388,0.99328,0.85076,0.60518,0.25698,0.90578,0.005611,0.005611,0.005611
135,23760.5,0.64362,0.31771,0.91917,0.98617,0.97353,0.99328,0.85133,0.60443,0.25696,0.90547,0.005578,0.005578,0.005578
136,23936.4,0.64197,0.31581,0.91764,0.9866,0.97305,0.99328,0.85112,0.60375,0.25684,0.90517,0.005545,0.005545,0.005545
137,24112.8,0.64075,0.31624,0.91601,0.98678,0.97255,0.99328,0.8515,0.60341,0.25658,0.90508,0.005512,0.005512,0.005512
138,24293.3,0.63797,0.31597,0.9145,0.98688,0.97248,0.99327,0.85164,0.60338,0.25639,0.90503,0.005479,0.005479,0.005479
139,24472,0.64097,0.3141,0.9157,0.98657,0.97312,0.99326,0.85144,0.6032,0.25627,0.90492,0.005446,0.005446,0.005446
140,24645.4,0.63816,0.31741,0.91572,0.98659,0.97306,0.99327,0.85169,0.60271,0.25607,0.9047,0.005413,0.005413,0.005413
141,24818.2,0.63993,0.31576,0.91538,0.98645,0.9733,0.99328,0.85158,0.60237,0.25602,0.90457,0.00538,0.00538,0.00538
142,24993.2,0.64108,0.31498,0.91615,0.98632,0.97354,0.99328,0.8522,0.60192,0.2557,0.90442,0.005347,0.005347,0.005347
143,25170.1,0.64021,0.31699,0.91457,0.98603,0.97378,0.9933,0.85186,0.60195,0.25557,0.90442,0.005314,0.005314,0.005314
144,25346.7,0.63836,0.31433,0.91736,0.98619,0.9739,0.9933,0.85211,0.60197,0.2555,0.9044,0.005281,0.005281,0.005281
